SEC Region,Organization CRD#,Additional CRD Number,Total number of additional CRD numbers,SEC#,Firm Type,CIK#,Total number of CIK numbers,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Private Residence Flag,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,Mail Office Private Residence Flag,Chief Compliance Officer Name,Chief Compliance Officer Other Titles,Chief Compliance Officer Telephone,Chief Compliance Officer Facsimile,Chief Compliance Officer Street Address 1,Chief Compliance Officer Street Address 2,Chief Compliance Officer City,Chief Compliance Officer State,Chief Compliance Officer Country,Chief Compliance Officer Postal Code,Chief Compliance Officer E-mail,Name of the other person compensating CCO,EIN of the Other person compensating CCO,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,1I,Website Address,Total Number of Website Addresses,Location of Books and Records Street Address 1,Location of Books and Records Street Address 2,Location of Books and Records City,Location of Books and Records State,Location of Books and Records Country,Location of Books and Records Postal Code,Total Number of Books and Records Locations,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),Count of IA Affiliates,Count of IA/BD Affiliates,Count of BD Affiliates,Control/Controlled by Related Person,Under Common Control,Share Supervised Persons,Share Location,7B,Count of Private Funds - 7B(1),Any PFs a Master,Any Hedge Funds,Total number of Hedge funds,Any Liquidity Funds,Total number of Liquidity funds,Any PE Funds,Total number of PE funds,Any Real Estate Funds,Total number of Real Estate funds,Any Securitized Funds,Total number of Securitized funds,Any VC Funds,Total number of VC funds,Any Other Funds,Total number of Other funds,Total Gross Assets of Private Funds,Count of Private Funds - 7B(2),10A,Count of Control person Public Reporting Company,11,11A(1),Count of 11A(1) disclosures,11A(2),Count of 11A(2) disclosures,11B(1),Count of 11B(1) disclosures,11B(2),Count of 11B(2) disclosures,11C(1),Count of 11C(1) disclosures,11C(2),Count of 11C(2) disclosures,11C(3),Count of 11C(3) disclosures,11C(4),Count of 11C(4) disclosures,11C(5),Count of 11C(5) disclosures,11D(1),Count of 11D(1) disclosures,11D(2),Count of 11D(2) disclosures,11D(3),Count of 11D(3) disclosures,11D(4),Count of 11D(4) disclosures,11D(5),Count of 11D(5) disclosures,11E(1),Count of 11E(1) disclosures,11E(2),Count of 11E(2) disclosures,11E(3),Count of 11E(3) disclosures,11E(4),Count of 11E(4) disclosures,11F,Count of 11F disclosures,11G,Count of 11G disclosures,11H(1)(a),Count of 11H(1)(a) disclosures,11H(1)(b),Count of 11H(1)(b) disclosures,11H(1)(c),Count of 11H(1)(c) disclosures,11H(2),Count of 11H(2) disclosures,12A,12B(1),12B(2),12C(1),12C(2)
HQ,163630,,,802-76246,ERA,,,QUADRIGA CAPITAL IV GP LIMITED,QUADRIGA CAPITAL IV GP LIMITED,"QUADRIGA CAPITAL HOUSE, BRITANNIA PLACE",BATH STREET,"ST HELIER, CHANNEL ISLANDS",,Jersey,JE2 4YS,N,4.41535E+11,4.41535E+11,1,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/30/2012,,3/31/2025,21-Oct,N,,0,IFC 5,,ST. HELIER,,Jersey,JE1 1ST,1,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,Jersey,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2,0,0,Y,N,N,N,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"10,114,040.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,328200,,,802-128958,ERA,,,LUMA GROUP,LUMA GROUP ADVISOR LLC,595 MADISON AVENUE,31ST FLOOR,NEW YORK,NY,United States,10022,N,917-952-7860,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,9/25/2023,,3/31/2025,21-Oct,Y,http://www.linkedin.com/company/luma-group-investment-firm,2,,,,,,,0,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,Y,Y,Y,1,N,N,,N,,N,,N,,N,,Y,1,N,,"66,597,130.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,300989,,,802-115014,ERA,,,LAV GLOBAL MANAGEMENT COMPANY LIMITED,LAV GLOBAL MANAGEMENT COMPANY LIMITED,WALKERS CORPORATE LIMITED,"190 ELGIN AVENUE, GEORGE TOWN",GRAND CAYMAN,,Cayman Islands,KY1-9001,N,+1 345 949 0100,+1 345 949 7886,0,"ROOM 607, ST GEORGE'S BUILDING","2 ICE HOUSE STREET, CENTRAL",HONG KONG,,China,00000,N,,,,,,,,,,,,,,ERA - Active,3/15/2019,,3/25/2025,21-Oct,Y,HTTPS://WWW.LAVFUND.COM/,1,"ROOM 2909, 3 CORPORATE AVENUE",168 HUBIN ROAD,SHANGHAI,,China,200021,1,Y,N,N,,,Y,N,N,Corporation,,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,11,0,0,Y,N,Y,Y,Y,1,Y,N,,N,,N,,N,,N,,Y,1,N,,"883,478,075.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,305846,,,802-117573,ERA,,,MAR VENTURES INVESTIMENTOS LTDA,MAR VENTURES INVESTIMENTOS LTDA,RUA DOUTOR FERNANDES COELHO,"85, 9TH FLOOR",SAO PAULO,,Brazil,05423-040,N,55 11 98158 4433,,0,,,,,,,,PRISCILA HOLANDA,PARTNER AND CHIEF OPERATING OFFICER,+55 11 99311-1124,,RUA DOUTOR FERNANDES COELHO,"85,  9TH FLOOR",SAO PAULO,,Brazil,05423-040,PRISCILA.HOLANDA@MAR.VENTURES,,,ERA - Active,10/2/2019,,3/25/2025,21-Oct,Y,https://mar-2-0.webflow.io/,1,,,,,,,0,N,N,N,,,N,Y,N,Other (specify),BRAZILIAN LIMITADA,DECEMBER,,Brazil,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,N,,N,,N,,N,,N,,Y,1,N,,"25,765,747.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,318814,,,802-123502,ERA,,,B37 VENTURES,"CONDESA CAPITAL MANAGEMENT, LLC",201 SPEAR STREET,SUITE 1100,SAN FRANCISCO,CA,United States,94105,N,415-695-4132,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,2/18/2022,,3/31/2025,21-Oct,Y,https://www.linkedin.com/company/b37-ventures/,2,601 MONTGOMERY STREET,SUITE 810,SAN FRANCISCO,CA,United States,94111,1,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,8,N,N,,N,,N,,N,,N,,Y,8,N,,"156,772,746.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,305151,,,802-117299,ERA,,,MOBIUS CAPITAL PARTNERS,MCP EMERGING MARKETS LLP,3 GOWER STREET,,LONDON,,United Kingdom,WC1E 6HA,N,4.47853E+11,,0,,,,,,,,CARLOS VON HARDENBERG,,4.42038E+11,,3 GOWER STREET,,LONDON,,United Kingdom,WC1E 6HA,CARLOS@MCP-EM.COM,,,ERA - Active,8/7/2019,,3/27/2025,21-Oct,Y,http://www.mcp-em.com,1,,,,,,,0,N,N,N,,2138002CVICPT7MO5Y02,N,Y,N,Limited Liability Partnership,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,N,,N,,N,,N,,N,,N,,Y,1,"213,528,016.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,301039,,,802-117943,ERA,,,STEPSTONE GROUP PRIVATE DEBT AG,STEPSTONE GROUP PRIVATE DEBT AG,KLAUSSTRASSE 4,,ZURICH,,Switzerland,8008,N,+41 44 226 5252,,0,,,,,,,,EMMA LOVE,,,,ONE HADDINGTON BUILDINGS,THIRD FLOOR,DUBLIN,,Ireland,D04 X4C9,EMMA.LOVE@STEPSTONEGROUP.COM,,,ERA - Active,12/13/2019,,6/27/2025,21-Oct,Y,https://www.linkedin.com/company/stepstone-private-wealth/,13,1 FINSBURY AVENUE,,LONDON,,United Kingdom,EC2M 2PF,2,Y,N,N,,635400GUWQ6GXXPJ1A51,N,Y,N,Other (specify),AG,MARCH,,Switzerland,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,6,0,0,Y,Y,Y,N,Y,0,N,N,,N,,N,,N,,N,,N,,N,,0,3,N,1,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
MIRO,162853,,,802-74900,ERA,,,"RCH CAPITAL, LLC","RCH CAPITAL, LLC",425 22ND AVENUE NORTH,SUITE A,ST. PETERSBURG,FL,United States,33704,N,727-821-6000,727-821-8001,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/26/2012,,3/7/2025,21-Oct,Y,HTTPS://WWW.RCHCAPITAL.COM,1,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,FL,United States,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,0,0,0,N,N,N,N,Y,2,N,N,,N,,Y,2,N,,N,,N,,N,,"97,108,831.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,161384,,,802-74437,ERA,1598474,1,WARWICK CAPITAL PARTNERS,WARWICK CAPITAL PARTNERS LLP,86 DUKE OF YORK SQUARE,,LONDON,,United Kingdom,SW34LY,N,+44 207 850 8087,+44 207 850 8081,0,,,,,,,,MATTHEW COLEMAN,CHIEF OPERATING OFFICER,+44 207 850 8087,+44 207 850 8081,86 DUKE OF YORK SQUARE,,LONDON,,United Kingdom,SW34LY,MATTHEW.COLEMAN@WARWICKCAP.COM,,,ERA - Active,2/27/2012,,3/31/2025,21-Oct,Y,HTTPS://WWW.WARWICKCAP.COM,2,3601 WEST 76TH STREET,SUITE 450,EDINA,MN,United States,55435,2,Y,N,N,,549300G18F6HYJQPWE58,N,Y,N,Limited Liability Partnership,,DECEMBER,,United Kingdom,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,10,0,0,Y,N,Y,Y,Y,5,Y,N,,N,,N,,N,,N,,N,,Y,5,"198,839,319.00",0,Y,1,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,299748,,,802-114557,ERA,,,"OPEN FOREST ASSET MANAGEMENT, LLC","OPEN FOREST ASSET MANAGEMENT, LLC",,,,,,,Y,917-612-7710,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,12/11/2018,,3/26/2025,21-Oct,Y,http://www.open-forest.com,4,227 ELGIN AVENUE,PO BOX 852,GRAND CAYMAN,,Cayman Islands,KY1-1103,2,N,N,N,,984500585PU083DSEC95,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,N,Y,5,N,Y,2,N,,Y,1,N,,N,,N,,Y,2,"759,148,178.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,308064,,,802-118559,ERA,,,"LONG HILL CAPITAL VENTURE PARTNERS GP 1 PLUS, L.P.","LONG HILL CAPITAL VENTURE PARTNERS GP 1 PLUS, L.P.","MAPLES CORPORATE SERVICES LIMITED,","BOX 309, UGLAND HOUSE",GRAND CAYMAN,,Cayman Islands,KY1-1104,N,86 21 60257000,,0,"UNIT 3101, PLAZA 66, TOWER 2",1266 NANJING WEST ROAD,SHANGHAI,,China,200040,N,XIAODONG JIANG,MANAGING PARTNER,86 21 60256727,86 21 60256730,"UNIT 3101, PLAZA 66, TOWER 2",1266 NANJING WEST ROAD,SHANGHAI,,China,200040,XJIANG@LHCAP.CN,,,ERA - Active,3/27/2020,,3/14/2025,21-Oct,Y,http://www.lhcap.cn/,3,,,,,,,0,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,7,0,0,Y,N,Y,Y,Y,2,N,N,,N,,Y,2,N,,N,,N,,N,,"9,600,657.00",1,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
MIRO,288251,,,802-110388,ERA,,,GMF REAL ESTATE LLC,GMF REAL ESTATE LLC,1674 MERIDIAN AVENUE,SUITE 401,MIAMI BEACH,FL,United States,33140,N,410-394-7336,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,4/4/2017,,3/20/2025,21-Oct,N,,0,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,0,0,0,N,N,N,N,Y,10,N,N,,N,,Y,1,Y,9,N,,N,,N,,"67,142,117.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,162832,,,802-76518,ERA,,,PHOENIX EQUITY PARTNERS LIMITED,PHOENIX EQUITY PARTNERS LIMITED,123 VICTORIA STREET,VICTORIA,LONDON,,United Kingdom,SW1E6DE,N,0044 20 7434-6993,0044 20 7434 6999,0,,,,,,,,LOUISE CORNER,,4.42074E+11,,123 VICTORIA STREET,,LONDON,,United Kingdom,SW1E6DE,LOUISE.CORNER@PHOENIX-EQUITY.COM,,,ERA - Active,4/9/2012,,3/31/2025,21-Oct,Y,HTTP://WWW.PHOENIX-EQUITY.COM,2,"2ND FLOOR, DOREY COURT, ELIZABETH AVENUE",RUE DU PRE,ST PETER PORT,,Guernsey,GY1 2HT,1,Y,N,N,,,N,Y,N,Corporation,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,N,N,Y,3,Y,N,,N,,Y,3,N,,N,,N,,N,,"1,255,153,940.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
FWRO,317294,,,802-132316,ERA,1836854,1,CARTESS INVESTMENT PARTNERS LLC,CARTESS INVESTMENT PARTNERS LLC,3988 MAPLE AVENUE,COMMOMWEALTH HALL SUITE 425,DALLAS,TX,United States,75219,N,972-523-6492,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/3/2025,,3/3/2025,21-Oct,Y,https://cartessinvestments.com/,2,8750 NORTH CENTRAL EXPRESSWAY,SUITE 1825,DALLAS,TX,United States,75231,1,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,TX,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,2,N,N,,N,,Y,2,N,,N,,N,,N,,"49,523,926.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,174588,,,802-81075,ERA,,,KESTER CAPITAL LLP,KESTER CAPITAL LLP,14 - 16 BRUTON PLACE,,LONDON,,United Kingdom,W1J 6LX,N,44 203 747 5700,,0,,,,,,,,PATRICIA HAMEL,,44 203 747 5700,,14-16 BRUTON PLACE,,LONDON,,United Kingdom,W1J 6LX,PHAMEL@KESTERCAPITAL.COM,KESTER CAPITAL,,ERA - Active,2/26/2015,,2/10/2025,21-Oct,Y,HTTP://WWW.KESTERCAPITAL.COM,2,4TH FLOOR,3 MORE LONDON RIVERSIDE,LONDON,,United Kingdom,SE1 2AQ,1,Y,N,N,,13800FUBW7NKB8J1M14,N,Y,N,Limited Liability Partnership,,DECEMBER,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,Y,Y,N,Y,8,N,N,,N,,Y,8,N,,N,,N,,N,,"199,100,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
BRO,316039,,,802-122145,ERA,1825035,1,"ALTAI VENTURES ADVISORS, LLC","ALTAI VENTURES ADVISORS, LLC","55 POST ROAD WEST, 2ND FLOOR",,WESTPORT,CT,United States,06880,N,203-360-2350,,1,,,,,,,,OLEG ILICHEV,,203-360-2350,,"55 POST ROAD WEST, 2ND FLOOR",,WESTPORT,CT,United States,06880,OLEG@ALTAIVENTURES.COM,,,ERA - Active,7/22/2021,,3/28/2025,21-Oct,Y,http://www.altaiventures.com,2,20 RIDGE LANE,,WESTON,CT,United States,06883,1,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,7,N,N,,N,,N,,N,,N,,Y,7,N,,"111,606,704.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
DRO,336767,,,802-133015,ERA,381923,1,FIREX21 CAPITAL LTD,FIREX21 CAPITAL LTD,1560 BROADWAY,,DENVER,CO,United States,80202,N,1 289 778 4092,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,5/16/2025,,5/16/2025,21-Oct,N,,0,,,,,,,0,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,CO,United States,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,1,N,N,,N,,Y,1,N,,N,,N,,N,,"25,000,000.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,325662,,,802-128274,ERA,,,TREASURYSPRING MANAGEMENT (JERSEY) LIMITED,TREASURYSPRING MANAGEMENT (JERSEY) LIMITED,"ORDNANCE HOUSE, 31 PIER ROAD",,ST HELIER,,Jersey,JE4 8PW,N,+44 (0) 1534 825200,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,6/5/2023,,6/13/2024,21-Oct,Y,https://treasuryspring.com,6,,,,,,,0,Y,N,N,,2549003L5B8MS3CLZ894,N,Y,N,Corporation,,APRIL,,Jersey,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,Y,Y,N,Y,1,N,N,,N,,N,,N,,N,,N,,Y,1,"3,828,863,778.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
NYRO,296787,,,802-113262,ERA,,,"CITY LIGHT CAPITAL MANAGEMENT III, LLC","CITY LIGHT CAPITAL MANAGEMENT III, LLC",150 EAST 52ND STREET,24TH FLOOR,NEW YORK,NY,United States,10022,N,212-403-9514,,0,,,,,,,,JOSH COHEN,MANAGING PARTNER,917-270-8152,,150 EAST 52ND STREET,24TH FLOOR,NEW YORK,NY,United States,10022,JOSH@CITYLIGHT.VC,,,ERA - Active,4/19/2018,,3/14/2025,21-Oct,Y,https://www.citylight.vc,5,"200 AMERICAN METRO BLVD., SUITE 123",,HAMILTON TOWNSHIP,NJ,United States,08619,1,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,9,N,N,,N,,N,,N,,N,,Y,9,N,,"171,911,631.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,289031,,,802-110978,ERA,,,EPIRIS LLP,EPIRIS LLP,FORUM ST PAULS,33 GUTTER LANE,LONDON,,United Kingdom,EC2V 8AS,N,44 0 20 72144200,44 0 20 72144201,0,,,,,,,,NICOLAS VILASECO,FINANCE PARTNER,44 0 20 72144200,44 0 20 72144201,FORUM ST PAULS,33 GUTTER LANE,LONDON,,United Kingdom,EC2V 8AS,NICOLAS.VILASECO@EPIRIS.CO.UK,,,ERA - Active,7/7/2017,,6/12/2025,21-Oct,Y,HTTP://WWW.EPIRIS.CO.UK,2,,,,,,,0,Y,N,N,,8945005VEH9BIPLCVP78,N,Y,N,Limited Liability Partnership,,MARCH,,United Kingdom,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,Y,10,Y,N,,N,,Y,10,N,,N,,N,,N,,"3,819,158,882.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
SFRO,169560,,,802-132564,ERA,,,MONTAGE VENTURES,"MONTAGE VENTURES, LLC",863 EL CAMINO REAL,,MENLO PARK,CA,United States,94025,N,650-793-6768,,0,,,,,,,,,,,,,,,,,,,,,ERA - Active,3/27/2025,,3/27/2025,21-Oct,Y,HTTP://MONTAGEVENTURES.COM/,5,,,,,,,0,N,N,N,,,Y,N,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,0,0,Y,N,Y,Y,Y,3,N,N,,N,,N,,N,,N,,Y,3,N,,"227,729,552.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
HQ,163227,,,802-75235,ERA,,,MEKONG CAPITAL PARTNERS,MEKONG CAPITAL PARTNERS,CAYMAN CORPORATE CENTRE,27 HOSPITAL ROAD,"GEORGE TOWN, GRAND CAYMAN",,Cayman Islands,KY1-9008,N,13458147600,,2,C/O MEKONG CAPITAL,"SONATUS BUILDING, 25TH FLOOR, 15 LE THANH TON",HO CHI MINH CITY,,Vietnam,700000,N,,,,,,,,,,,,,,ERA - Active,3/29/2012,,5/6/2025,21-Oct,Y,HTTP://WWW.MEKONGCAPITAL.COM,1,"SONATUS BUILDING, 25TH FLOOR","15 LE THANH TON, DISTRICT 1",HO CHI MINH CITY,,Vietnam,700000,2,N,N,N,,,N,Y,N,Other (specify),FOREIGN COMPANY,DECEMBER,,Cayman Islands,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,GENERAL PARTNER TO PRIVATE EQUITY FUND,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,0,0,Y,N,Y,Y,Y,1,Y,N,,N,,Y,1,N,,N,,N,,N,,"125,193,557.00",0,N,0,N,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,,,,
